Species,Dataset,IUCN,Class,Mass,ScaledLogRaw,Res
Cairina scutulata,Willemen et al. (2015),EN,Aves,2600,0.046918522988793045,-0.3661404588715292
Calamanthus campestris,Willemen et al. (2015),LC,Aves,11.7,-0.7136578749350705,-1.1798550061231
Calamanthus fuliginosus,Willemen et al. (2015),LC,Aves,21.7,-0.12446595081140822,-0.5906760605858535
Calamaria lumbricoidea,Willemen et al. (2015),LC,Reptilia,37.74773990956879,-0.5875169425673733,-0.2501053445011872
Calamospiza melanocorys,Willemen et al. (2015),LC,Aves,35.9,0.720516469412272,0.2542879300451166
Calandrella brachydactyla,Willemen et al. (2015),LC,Aves,22.7,0.7920541217174245,0.3258427140843376
Calandrella cinerea,Willemen et al. (2015),LC,Aves,23.1,0.2810994789390194,-0.18511244783752395
Calandrella rufescens,Willemen et al. (2015),LC,Aves,23.2,0.4053463548587843,-0.060865701703623425
Calcarius lapponicus,Willemen et al. (2015),LC,Aves,22.9,1.3700344677810645,0.9038228005762493
Calcarius ornatus,Willemen et al. (2015),NT,Aves,20.1,0.4881275305374083,0.10065805945504785
Calcarius pictus,Willemen et al. (2015),LC,Aves,24.3,0.350845114168809,-0.11536837003810432
Calidris acuminata,Willemen et al. (2015),LC,Aves,63.5,0.935528274801803,0.4692639145361403
Calidris alba,Willemen et al. (2015),LC,Aves,55.4,2.2954023747161663,1.8291485271055008
Calidris alpina,Willemen et al. (2015),LC,Aves,45.1,2.231301694890933,1.7650612152242748
Calidris bairdii,Willemen et al. (2015),LC,Aves,39.7,1.131077309946835,0.6648438387168416
Calidris canutus,Willemen et al. (2015),LC,Aves,148,1.7483488160591139,1.2819747867382392
Calidris ferruginea,Willemen et al. (2015),LC,Aves,63.3,1.4833723479257286,1.0171082472317943
Calidris fuscicollis,Willemen et al. (2015),LC,Aves,45.8,1.203152794321738,0.7369114061540307
Calidris maritima,Willemen et al. (2015),LC,Aves,76.3,1.7480825097127013,1.2818015368564268
Calidris mauri,Willemen et al. (2015),LC,Aves,31,1.4155377133884601,0.949315533528648
Calidris melanotos,Willemen et al. (2015),LC,Aves,65.1,1.462928157403399,0.9966617205639098
Calidris minuta,Willemen et al. (2015),LC,Aves,27.1,1.4799486677301923,1.0137315495190824
Calidris minutilla,Willemen et al. (2015),LC,Aves,22.2,1.6900649989161765,1.2238542402124102
